UniqueID	SIZE	BIG4	GAAP	CR	QR	AT	CashR	NWC	CFOCL	OM	TM	CFM	ROE	ROA	GRIE	CFONI	CFOTL	CFOTR	CFOTA	EF	FAF	LTDE	CAT	DCOH	ACP	AAP	DR	DSCR	CFOLTL	TAT	FAT	DEPR	CFOFA	APP	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	 
12018	10.5182	0	0	2.13177648	1.595162636	0.743786489	0.743786489	1.13177648	-0.096914095	-0.2092	-0.0040	-0.0172	-0.013954443	-0.003677465	0.037470726	4.272058824	-0.022254568	-0.017037624	-0.015710346	0.263533611	0.869069225	3.074289208	2.638341158	51.02950398	65.79874969	6.046521554	0.705938024	2.811940299	-0.022254568	0.911740847	1.45700458	0.062799861	-0.025105868	68.60773186	0	0	0	0	0	0	0	0	0	0	1	
22008	14.1367	1	0	4.487252356	4.049254285	2.975024115	0.122838911	3.487252356	0.595896713	-0.0166	-0.0353	0.0840	-0.058544583	-0.02354111	0	-2.474319869	0.097422298	0.087248293	0.058248237	0.402105695	1.096447516	1.215562223	1.580050831	163.3056479	56.37598779	8.395840304	0.597894305	2.449957658	0.097422298	0.693048058	1.519339749	0.051356981	0.127695131	54.8922098	1	0	0	0	0	0	0	0	0	0	0	
22009	14.1938	1	0	3.893480855	3.556971713	2.67224693	0.170499331	2.893480855	0.94138916	0.0193	0.0215	0.1513	0.038133247	0.015001778	0.035902005	7.133150685	0.176809137	0.153427305	0.10700994	0.39340415	1.064037663	1.268895408	1.598385369	173.6379407	52.74934908	8.162857054	0.605228565	3.144705404	0.176809137	0.707415331	1.531293001	0.053538887	0.231637011	64.97825434	0	1	0	0	0	0	0	0	0	0	0	
22010	14.2206	1	0	4.477301181	4.087930706	3.050997496	0.109418377	3.477301181	0.666954711	0.0189	0.0609	0.0895	0.106671606	0.045704369	0.118643153	1.430337079	0.114699312	0.087045286	0.065372654	0.428458623	1.054235652	1.127545899	1.663637883	164.2924105	51.60334903	9.113218307	0.569948093	2.655608677	0.114699312	0.730087454	1.630923737	0.049877251	0.146034305	53.84875299	0	0	1	0	0	0	0	0	0	0	0	
22011	14.2417	1	0	4.806641617	4.403564144	3.182386831	0.121731974	3.806641617	0.759098229	0.0082	0.0162	0.0901	0.028934485	0.012364615	0.018686599	5.601235741	0.122236526	0.090845476	0.069257124	0.427331441	1.077354305	1.11931695	1.753345702	149.9855236	53.7767774	9.236072675	0.566582891	2.585433071	0.122236526	0.768910463	1.74270433	0.051549197	0.156968458	47.12988445	0	0	0	1	0	0	0	0	0	0	0	
22012	14.2993	1	0	4.739542673	4.34259069	3.158881647	0.067142297	3.739542673	0.752641179	-0.0083	0.0574	0.0997	0.101315604	0.044848678	0.097226042	1.661755003	0.136503696	0.095331669	0.074527514	0.442663081	1.040778037	1.071833316	1.593349866	163.8671112	58.53567958	10.39121499	0.545974333	2.30738423	0.136503696	0.747784136	1.741295532	0.047448865	0.173545308	51.87503982	0	0	0	0	1	0	0	0	0	0	0	
22013	14.3892	1	0	5.173661723	4.80669779	3.785095583	0.221697674	4.173661723	0.880707616	0.0048	0.0894	0.1204	0.148700397	0.067566715	0.1230056	1.261716926	0.164754988	0.11280822	0.085250068	0.454381536	1.073797845	0.934128087	1.414281262	206.366056	52.20145398	10.40395853	0.517435426	2.382747276	0.164754988	0.708266656	1.808050805	0.049579099	0.21762489	54.52069874	0	0	0	0	0	1	0	0	0	0	0	
22014	14.4640	1	0	5.756290126	5.334207433	4.423456009	0.315856994	4.756290126	1.27297337	0.0428	0.1110	0.1652	0.165501897	0.082450984	0.181591022	1.428349483	0.248089039	0.158526114	0.117768821	0.498187549	1.023373154	0.80394529	1.338959355	251.5140038	44.5729909	6.293704096	0.474703846	4.633856188	0.248089039	0.713051794	1.909311601	0.084001924	0.315345081	56.85916246	0	0	0	0	0	0	1	0	0	0	0	
22015	14.5013	1	0	5.423728654	5.080778097	4.290920638	0.27078139	4.423728654	1.13274686	0.0256	0.0713	0.1608	0.101186111	0.05393627	0.110630907	2.248673889	0.246657461	0.160404175	0.121285081	0.533040247	0.990899854	0.778171806	1.298910941	253.1863998	42.83540485	10.89231003	0.491714627	3.571475501	0.246657461	0.754313441	1.943228223	0.048465973	0.31244915	59.00514625	0	0	0	0	0	0	0	1	0	0	0	
22016	14.5902	1	0	5.279970559	4.972906894	4.172084583	0.183006425	4.279970559	0.77020562	0.0279	0.0994	0.1116	0.13739005	0.078666277	0.174109472	1.066634643	0.184118907	0.106064445	0.083908176	0.572576226	0.874801942	0.705005574	1.306600108	245.8846442	43.44902041	10.70124557	0.455728186	3.232808035	0.184118907	0.751574067	1.8959219	0.04715661	0.211666893	58.93568055	0	0	0	0	0	0	0	0	1	0	0	
