ZScore	DIST
5.874340186	0
3.119270483	0
4.045581309	0
3.914879259	0
3.925967458	0
3.854516985	0
3.923591362	0
4.161747399	0
4.450548914	0
5.083611671	0
5.106160629	0
3.044427925	0
2.664956935	0
3.205014448	0
3.648187678	0
3.034996484	0
3.348530865	0
3.52721743	0
3.230773652	0
2.849405741	0
3.588370345	0
3.76018812	0
3.254019541	0
3.709319226	0
3.852040202	0
3.500848881	0
4.158968698	0
4.269005685	0
4.844874228	0
3.535747319	0
3.311847227	0
1.391530017	0
1.362604485	0
5.656912736	0
5.977332244	0
5.932412805	0
6.227656314	0
5.981958173	0
6.293967805	0
5.437230587	0
4.13666378	0
4.187875394	0
4.546389086	0
5.249181312	0
2.900498753	0
2.278542169	0
2.833446008	0
3.166907691	0
3.650289346	0
3.452630646	0
3.024303386	0
4.667719485	0
4.23510235	0
4.189932452	0
1.417691538	0
2.711471003	0
2.659451023	0
2.084949156	0
1.698401992	0
2.330941415	0
2.355827874	0
2.396615752	0
2.00668631	0
2.303976709	0
2.026879603	0
1.695626057	0
3.203533512	0
4.409861679	0
5.135512789	0
5.109936559	0
5.29203328	0
5.770197182	0
6.792167431	0
6.235830845	0
6.05683487	0
7.228720401	0
2.613104734	0
3.206110018	0
2.708711002	0
2.724358918	0
3.168662219	0
3.416853581	0
4.172573108	0
4.186939953	0
4.77687416	0
4.547457998	0
4.753615052	0
3.695760862	0
3.972338971	0
3.953411865	0
4.013383712	0
4.172905303	0
3.923015955	0
4.325467764	0
4.910305774	0
4.762551795	0
3.19647821	0
3.263280362	0
2.990209618	0
3.753794325	0
3.859887831	0
3.535685404	0
4.573208516	0
4.624914242	0
4.538058249	0
4.797282931	0
4.919199847	0
5.386309023	0
6.127091047	0
1.800777472	0
2.201664042	0
1.670682708	0
1.262599017	0
1.010813224	1
1.485826683	0
2.339717289	0
2.312577345	0
2.467803551	0
1.803096622	0
2.589086381	0
6.639729648	0
8.083252447	0
3.834127953	0
3.9840779	0
4.177501784	0
4.407460914	0
4.484939622	0
3.94657032	0
4.886448415	0
5.040534221	0
5.057137317	0
3.019593998	0
2.065761555	0
2.405195457	0
3.280184621	0
3.113908885	0
3.241460584	0
3.488096905	0
3.4863528	0
2.746181293	0
3.195065326	0
3.359168261	0
1.857157132	0
1.854030874	0
2.200469665	0
2.586645262	0
2.652714612	0
2.396027178	0
2.318292576	0
2.396328576	0
2.338464506	0
2.311543465	0
2.387567179	0
2.399847535	0
1.56337464	0
2.009257449	0
2.936954614	0
2.051988276	0
3.510530947	0
4.341758031	0
3.654001654	0
3.312948412	0
3.742037662	0
3.737778552	0
3.561536947	0
4.494859661	0
4.646957229	0
4.479178251	0
4.141726266	0
6.664243057	0
4.578104061	0
4.701500742	0
4.796483043	0
4.384640165	0
4.267589358	0
2.473824908	0
2.223311603	0
1.79109092	0
1.236156045	0
1.441649943	0
1.787741173	0
1.711471298	0
1.437649083	0
2.415821392	0
2.404182926	0
3.005722348	0
3.761788787	0
3.226744649	0
3.611717646	0
4.060865745	0
4.280645279	0
4.208184956	0
4.147304687	0
4.778055721	0
4.909641464	0
5.522642254	0
4.327339209	0
4.112323372	0
4.587222603	0
4.712280104	0
5.006266911	0
5.64721629	0
5.536932443	0
4.948910389	0
5.004970193	0
5.225094872	0
